trajet,catr,circ,nbv,prof,plan,surf,infra,situ,vma,mois,lum,dep,agg,int,atm,col,catv,obs,obsm,choc,pieton,sexe_conducteur,age,Num_Acc,Y
5,2,1,3,1,3,2,3,8,3,10,1,91,1,9,1,2,3,0,2,3,0,1,63,202200000132,0
5,2,1,3,1,3,2,3,8,3,10,1,91,1,9,1,2,3,0,2,3,0,1,27,202200000132,0
1,2,1,2,4,3,4,0,1,3,10,3,91,1,1,3,7,3,4,0,1,0,1,55,202200000133,0
1,2,3,6,2,3,2,9,1,3,10,3,91,1,1,2,7,3,4,0,0,0,1,21,202200000134,0
1,1,1,3,1,1,2,0,1,3,10,5,78,1,1,2,1,3,0,9,1,0,1,50,202200000135,0
1,1,1,3,1,1,2,0,1,3,10,5,78,1,1,2,1,3,0,9,1,0,1,55,202200000135,0
0,1,3,8,1,1,1,1,1,3,10,1,93,1,1,1,2,3,0,2,4,0,1,36,202200000136,0
0,1,3,8,1,1,1,1,1,3,10,1,93,1,1,1,2,3,0,2,4,0,0,24,202200000136,0
9,1,3,3,1,1,2,0,1,2,10,1,93,1,1,2,2,3,0,2,6,0,1,62,202200000137,0
9,1,3,3,1,1,2,0,1,2,10,1,93,1,1,2,2,3,0,2,6,0,1,20,202200000137,0
4,1,3,8,1,1,1,0,1,3,10,1,94,1,1,1,6,3,0,2,1,0,1,42,202200000138,0
1,1,3,8,1,1,1,0,1,3,10,1,94,1,1,1,6,3,0,2,1,0,0,37,202200000138,0
1,1,3,8,1,1,1,0,1,3,10,1,94,1,1,1,6,3,0,2,1,0,1,46,202200000138,0
5,1,3,8,1,1,1,0,1,3,10,1,94,1,1,1,6,3,0,2,1,0,1,21,202200000138,0
5,1,3,8,1,1,1,0,1,3,10,1,94,1,1,1,6,3,0,2,1,0,1,41,202200000138,0
1,2,3,2,1,1,3,0,1,3,10,3,94,1,1,2,6,3,4,0,2,0,0,56,202200000139,0
0,4,1,2,1,1,2,0,1,2,7,5,92,2,2,1,3,3,0,2,3,0,1,41,202200000140,0
0,4,1,2,1,1,2,0,1,2,7,5,92,2,2,1,3,3,0,2,3,0,1,21,202200000140,0
5,4,1,1,1,1,2,0,1,2,10,5,75,2,4,2,3,3,0,2,8,0,1,28,202200000141,0
5,4,1,1,1,1,2,0,1,2,10,5,75,2,4,2,3,3,0,2,8,0,0,22,202200000141,0
9,4,1,4,1,1,2,0,1,2,10,5,75,2,1,3,5,3,0,2,8,0,0,27,202200000142,0
9,4,1,4,1,1,2,0,1,2,10,5,75,2,1,3,5,3,0,2,8,0,1,49,202200000142,0
9,4,1,4,1,1,2,0,1,2,10,5,75,2,1,3,5,3,0,2,8,0,0,21,202200000142,0
4,4,1,4,1,1,2,0,1,2,10,5,75,2,1,3,2,3,0,2,4,0,1,52,202200000143,0
5,4,1,4,1,1,2,0,1,2,10,5,75,2,1,3,2,3,0,2,4,0,1,21,202200000143,0
-1,4,1,4,1,1,2,0,1,2,10,2,75,2,1,2,5,3,0,2,8,0,0,21,202200000144,0
1,4,1,4,1,1,2,0,1,2,10,2,75,2,1,2,5,3,0,2,8,0,1,30,202200000144,0
1,4,1,4,1,1,2,0,1,2,10,2,75,2,1,2,5,3,0,2,8,0,1,36,202200000144,0
9,4,2,2,1,2,2,0,5,1,10,5,75,2,4,3,3,3,0,2,3,0,1,83,202200000146,0
9,4,2,2,1,2,2,0,5,1,10,5,75,2,4,3,3,3,0,2,3,0,1,22,202200000146,0
1,4,3,4,1,1,1,0,6,1,10,1,75,2,3,1,3,1,0,2,1,0,1,43,202200000147,0
-1,4,3,4,1,1,1,0,6,1,10,1,75,2,3,1,3,1,0,2,1,0,0,21,202200000147,0
1,4,2,2,1,1,2,0,1,1,10,5,75,2,4,2,6,0,0,1,1,1,1,21,202200000149,0
1,4,2,4,2,1,2,0,1,1,10,2,75,2,1,2,7,1,0,0,0,0,0,29,202200000152,0
4,4,2,2,1,1,1,6,1,1,10,1,75,2,3,1,6,3,0,1,2,1,1,42,202200000154,0
5,4,1,2,1,1,2,6,4,1,10,5,75,2,1,1,6,0,0,1,2,1,1,21,202200000155,0
5,4,2,2,1,1,2,1,1,1,10,1,75,2,1,2,3,3,0,2,2,0,0,57,202200000156,0
1,4,2,2,1,1,2,1,1,1,10,1,75,2,1,2,3,3,0,2,2,0,0,28,202200000156,0
1,4,2,2,1,1,3,0,5,1,10,5,75,2,1,3,6,1,0,1,1,1,1,27,202200000157,0
5,4,1,3,1,2,1,0,1,2,8,5,64,2,6,1,3,3,0,2,1,0,1,51,202200000160,0
5,4,1,3,1,2,1,0,1,2,8,5,64,2,6,1,3,3,0,2,1,0,1,32,202200000160,0
5,4,2,2,1,1,1,0,1,2,6,2,62,2,1,1,7,3,0,2,3,0,1,20,202200000161,0
5,4,2,2,1,1,1,0,1,2,6,2,62,2,1,1,7,3,0,2,3,0,1,18,202200000161,0
4,5,2,2,1,1,1,0,1,2,8,1,59,2,2,1,3,4,0,2,1,0,1,42,202200000162,0
5,5,2,2,1,1,1,0,1,2,8,1,59,2,2,1,3,4,0,2,1,0,1,61,202200000162,0
0,4,2,2,1,1,1,0,1,2,7,1,59,2,2,1,3,0,0,2,1,0,0,21,202200000163,0
1,4,2,2,1,1,1,0,1,2,7,1,59,2,2,1,3,0,0,2,1,0,1,27,202200000163,0
0,4,2,2,1,1,1,0,1,2,8,5,49,2,1,1,7,1,0,0,0,0,0,30,202200000164,0
1,4,2,2,1,1,1,0,1,2,8,1,45,2,3,1,3,1,0,2,1,0,0,32,202200000165,0
0,4,2,2,1,1,1,0,1,2,8,1,45,2,3,1,3,1,0,2,1,0,1,22,202200000165,0
0,4,2,2,1,1,1,0,1,2,6,2,42,2,3,1,1,2,0,2,1,0,1,17,202200000167,0
0,4,2,2,1,1,1,0,1,2,6,2,42,2,3,1,1,2,0,2,1,0,1,37,202200000167,0
5,4,2,0,1,1,1,0,1,2,8,3,37,2,1,1,6,0,4,0,8,0,1,18,202200000169,0
5,4,1,1,1,1,1,0,1,1,8,1,34,2,1,1,6,0,0,1,2,1,1,21,202200000170,0
0,3,2,0,1,1,1,0,1,2,8,1,32,1,1,1,2,3,0,2,4,0,1,62,202200000173,0
4,3,2,0,1,1,1,0,1,2,8,1,32,1,1,1,2,3,0,2,4,0,1,23,202200000173,0
5,4,2,2,1,3,1,0,1,2,8,1,27,2,3,1,3,3,0,2,1,0,1,47,202200000175,0
